item_name,current_price,old_price_element,item_discount_element,item_link,discount
Garnier Even & Matte Vitamin C Protection Cream SPF30 50ml,1020.0,0.0,15.0,/garnier-even-matte-vitamin-c-protection-cream-spf30-50ml-69384579.html,15.0
"Vitron Smart 32"" Frameless Tv Htc3200s Netflix & Youtube +  Wall Bracket & Power Guard",14999.0,99.0,17.0,/vitron-smart-32-frameless-tv-htc3200s-netflix-youtube-wall-bracket-power-guard-86890778.html,17.0
Epson EcoTank L3250 A4 WIRELESS Printer (All-in-One),27999.0,0.0,26.0,/epson-ecotank-l3250-a4-wireless-printer-all-in-one-112887290.html,26.0
2IN1 Wired Keyboard And Mouse Set Optical Mouse,799.0,9.0,43.0,/generic-2in1-wired-keyboard-and-mouse-set-optical-mouse-159186874.html,43.0
Garnier Vitamin C Booster Serum 30ml Twin Pack,2625.0,0.0,25.0,/garnier-vitamin-c-booster-serum-30ml-twin-pack-122217050.html,25.0
Garnier Even & Matte Dark Spot Corrector,1840.0,0.0,20.0,/garnier-even-matte-dark-spot-corrector-33005024.html,20.0
Fashion 6Pcs Soft Cotton Checked Men's Boxers – Multicolor,618.0,,10.0,/fashion-6pcs-soft-cotton-checked-mens-boxers-multicolor-82923419.html,10.0
Garnier Anti-Blemish Charcoal Serum With AHA + BHA & Niacinamide For Acne Prone Skin,1400.0,0.0,20.0,/garnier-anti-blemish-charcoal-serum-with-aha-bha-niacinamide-for-acne-prone-skin-119519704.html,20.0
Maybelline Lasting Fix Setting Spray,1575.0,0.0,25.0,/maybelline-lasting-fix-setting-spray-19673223.html,25.0
AILYONS FK-0301 Stainless Steel 1.8L Electric Kettle-Black,729.0,9.0,48.0,/ailyons-fk-0301-stainless-steel-1.8l-electric-kettle-black-34080919.html,48.0
"Vitron HTC4388FS - 43"" Smart  Android Frameless TV - Black",21359.0,99.0,11.0,/vitron-htc4388fs-43-smart-android-frameless-tv-black-93348943.html,11.0
Garnier Even & Matte  Vitamin C Booster Serum 30ml.,1400.0,0.0,20.0,/garnier-even-matte-vitamin-c-booster-serum-30ml.-47090194.html,20.0
Jikokoa Xtra - Black,2999.0,0.0,25.0,/jikokoa-xtra-black-8282304.html,25.0
Garnier Even & Matte Vitamin C Cleansing Foam,693.0,,15.0,/garnier-even-matte-vitamin-c-cleansing-foam-30685679.html,15.0
Jameson Jameson Irish Whiskey - 1 Litre,2599.0,7.0,32.0,/jameson-jameson-irish-whiskey-1-litre-58538274.html,32.0
AILYONS HD-198A Electric Dry Iron Box White & Blue,799.0,9.0,38.0,/ailyons-hd-198a-electric-dry-iron-box-white-blue-47419573.html,38.0
Garnier Even & Matte  Vitamin C Micellar Cleansing Water - 400ml,1275.0,0.0,25.0,/garnier-even-matte-vitamin-c-micellar-cleansing-water-400ml-39042177.html,25.0
Maybelline Volume Express Colossal 100% Black Mascara,875.0,0.0,30.0,/maybelline-volume-express-colossal-100-black-mascara-928719.html,30.0
Fashion 4Pairs Finest Cotton Freesize Unisex Plain Invisible Socks,227.0,,34.0,/fashion-4pairs-finest-cotton-freesize-unisex-plain-invisible-socks-43142431.html,34.0
AILYONS FK-0306 Stainless Steel 1.8L Electric Kettle-White,809.0,9.0,42.0,/ailyons-fk-0306-stainless-steel-1.8l-electric-kettle-white-61982685.html,42.0
Hikers 32'' Digital Frameless HD LED TV-Black,12299.0,99.0,35.0,/hikers-32-digital-frameless-hd-led-tv-black-130118973.html,35.0
"Vitron V527 - 2.1 CH Multimedia Speaker, BT/USB/SD/FM - 9000W",5459.0,9.0,28.0,/vitron-v527-2.1-ch-multimedia-speaker-btusbsdfm-9000w-25642251.html,28.0
AILYONS FK-0308 Stainless Steel 2.2L Electric Kettle,1059.0,9.0,34.0,/ailyons-fk-0308-stainless-steel-2.2l-electric-kettle-74991063.html,34.0
"Infinix Smart 7 HD, 6.6"", 2GB RAM, 64GB, 5000mAh, 4G(DUAL SIM) - Ink Black.",12799.0,99.0,15.0,/infinix-smart-7-hd-6.6-2gb-ram-64gb-5000mah-4gdual-sim-ink-black.-126833209.html,15.0
Garnier Pure Active 3 In1 Charcoal Anti Blackhead Mask Wash Scrub -150ml,1101.0,5.0,15.0,/garnier-pure-active-3-in1-charcoal-anti-blackhead-mask-wash-scrub-150ml-15855244.html,15.0
Garnier Charcoal Serum With AHA+BHA 30ml Twin Pack,2625.0,0.0,25.0,/garnier-charcoal-serum-with-ahabha-30ml-twin-pack-148758570.html,25.0
Garnier AHA+BHA Charcoal Serum + Pure Active 3-in-1 Charcoal Mask,2284.0,5.0,25.0,/garnier-ahabha-charcoal-serum-pure-active-3-in-1-charcoal-mask-122287793.html,25.0
Garnier Protection 6 In 1 Cotton Fresh Womens Roll-on - 50ml,298.0,,15.0,/garnier-protection-6-in-1-cotton-fresh-womens-roll-on-50ml-27526511.html,15.0
Jameson Jameson Irish Whiskey - 750 Ml,1999.0,1.0,30.0,/jameson-jameson-irish-whiskey-750-ml-58538273.html,30.0
Fresh Fri Fresh Fri Triple Refined Vegetable Cooking Oil - 5 Litres,1199.0,0.0,35.0,/fresh-fri-fresh-fri-triple-refined-vegetable-cooking-oil-5-litres-47094258.html,35.0
Maybelline Fit Me Mattifying Primer Matte And Poreless,1120.0,0.0,20.0,/maybelline-fit-me-mattifying-primer-matte-and-poreless-43716991.html,20.0
Hikers 43'' Inch Frameless Android Smart FHD LED TV - Black,21699.0,54.0,31.0,/hikers-43-inch-frameless-android-smart-fhd-led-tv-black-130121825.html,31.0
Fashion 6Pcs Soft Cotton Brief Men's Boxers – Waist 29-35inc,789.0,,12.0,/fashion-6pcs-soft-cotton-brief-mens-boxers-waist-29-35inc-86446468.html,12.0
Fashion 4pcs Ladies Handbags Women Shoulder Tote Bags Set PU Leather-Black,969.0,0.0,42.0,/fashion-4pcs-ladies-handbags-women-shoulder-tote-bags-set-pu-leather-black-29295114.html,42.0
Exe Exe All Purpose Flour 2kg,199.0,,5.0,/exe-exe-all-purpose-flour-2kg-43658696.html,5.0
AILYONS TYB-205 Blender 2In1 With GrinderMachine 1.5LBlack,1799.0,9.0,31.0,/ailyons-tyb-205-blender-2in1-with-grindermachine-1.5lblack-86622778.html,31.0
Garnier Protection 5 Mens Roll-on - 50ml,298.0,,15.0,/garnier-protection-5-mens-roll-on-50ml-27526513.html,15.0
Stereo F9 Bluetooth Earphone  Power Headset,660.0,4.0,35.0,/generic-stereo-f9-bluetooth-earphone-power-headset-35221857.html,35.0
Menengai Menengai Cream Bar Soap - 800g,169.0,,32.0,/cream-bar-soap-800g-menengai-mpg308814.html,32.0
Jogoo Jogoo Maize Meal - 2Kg,152.0,,16.0,/jogoo-jogoo-maize-meal-2kg-43658703.html,16.0
Fashion 6-Pack Men's Cotton Woven Boxers - Assorted,1199.0,0.0,20.0,/fashion-6-pack-mens-cotton-woven-boxers-assorted-23869693.html,20.0
Qasil Naturals Qasil Powder Organic & Multi-purpose Skincare,569.0,,37.0,/qasil-naturals-qasil-powder-organic-multi-purpose-skincare-68608697.html,37.0
Garnier Even & Matte Oily Skin Face Moisturizer,893.0,0.0,15.0,/garnier-even-matte-oily-skin-face-moisturizer-929056.html,15.0
"Skyworth 43E3A, 43"" Full HD Frameless Smart Android TV – Black",27499.0,99.0,39.0,/skyworth-43e3a-43-full-hd-frameless-smart-android-tv-black-69299701.html,39.0
Waanzilish Mens Sneakers Shoes Outdoor Hiking Shoes Non-slip Sports Shoes Breathable Blue,1100.0,0.0,27.0,/waanzilish-mens-sneakers-shoes-outdoor-hiking-shoes-non-slip-sports-shoes-breathable-blue-85254468.html,27.0
Garnier Bye Acne & Dark Spots Kit.,3184.0,5.0,25.0,/garnier-bye-acne-dark-spots-kit.-74339805.html,25.0
AILYONS ELP2404K 2.1CH SubWoofer Home Theatrer Multi Media Speaker System,2999.0,9.0,27.0,/ailyons-elp2404k-2.1ch-subwoofer-home-theatrer-multi-media-speaker-system-156070365.html,27.0
Qwen Aluminum Alloy Laptop Stand Computer Stand,650.0,0.0,35.0,/qwen-aluminum-alloy-laptop-stand-computer-stand-61956975.html,35.0
Fashion Slipon Shoes Loafers Shoes Canvas Shoes Casual Shoes Mens Sneaker Black,759.0,0.0,49.0,/fashion-slipon-shoes-loafers-shoes-canvas-shoes-casual-shoes-mens-sneaker-black-67456421.html,49.0
ARHANORY Phone Tripod Stand Mobile Phone Holder Mount Ring Light Set Selfie Stick-Black,499.0,,46.0,/arhanory-phone-tripod-stand-mobile-phone-holder-mount-ring-light-set-selfie-stick-black-49086482.html,46.0
